datetime,lat,lon,p,t,s,o2_t,fchl,fdom,par,tilt,tilt_std,chla_adj,poc,o2_c,cphyto,bbp,sigma
2019-11-08 07:11:18,55.9273,-34.2383,196.0,6.733,34.927,-0.00366104000692,0.0267,1.928,0.00349267849233,1.7,0.06,0.00331896551724,-0.657295459843,10.3532690053,7.00990292415,0.000387970880813,27.4037004647
2019-11-08 07:11:18,55.9273,-34.2383,198.0,6.737,34.928,-0.00366104000635,0.02848,1.9521,0.00395589845153,1.7,0.07,0.00408620689655,2.53461278117,10.3561690025,8.50100251013,0.000478081779153,27.4039734651
2019-11-08 07:11:18,55.9273,-34.2383,200.0,6.738,34.929,-0.00366104000639,0.0267,1.94005,0.00349267849233,1.7,0.11,0.00331896551724,-0.568506206007,10.3555244754,7.05138081437,0.000390477494043,27.4046531976
2019-11-08 07:11:18,55.9273,-34.2383,202.0,6.733,34.932,-0.00366104000721,0.0267,1.96415,0.00395589845153,1.7,0.09,0.00331896551724,0.849444961763,10.3619718892,7.71377654745,0.000430507734226,27.4077235829
2019-11-08 07:11:18,55.9273,-34.2383,204.0,6.718,34.93,-0.00366104000967,0.03204,1.9521,0.00349267849233,1.6,0.08,0.00562068965517,-0.392558677674,10.3561690025,7.13357468301,0.000395444676256,27.4082049646
2019-11-08 07:11:18,55.9273,-34.2383,206.0,6.716,34.934,-0.00366104000997,0.03204,1.9521,0.00302945853314,1.6,0.06,0.00562068965517,-1.19100245702,10.3291397863,6.76058175874,0.000372903775704,27.4116565409
2019-11-08 07:11:18,55.9273,-34.2383,208.0,6.735,34.943,-0.00366104000679,0.03382,1.9762,0.00488233836992,1.7,0.07,0.00638793103448,-0.126725797763,10.3050772109,7.25775848381,0.000402949415681,27.4162060691
2019-11-08 07:11:18,55.9273,-34.2383,210.0,6.731,34.947,-0.00366104000744,0.03204,1.9521,0.00395589845153,1.7,0.12,0.00562068965517,-0.0387004607739,10.3028347614,7.29887951036,0.000405434462741,27.4199291547
2019-11-08 07:11:18,55.9273,-34.2383,212.0,6.744,34.955,-0.00366104000568,0.02492,1.94005,0.00395589845153,1.7,0.12,0.00255172413793,-0.0386284434387,10.3066793145,7.29891315325,0.000405436495866,27.4245008603
2019-11-08 07:11:18,55.9273,-34.2383,214.0,6.734,34.956,-0.00366104000713,0.0267,1.9762,0.00395589845153,1.7,0.08,0.00331896551724,0.669915809323,10.2967510261,7.6299095235,0.00042543943903,27.4266725888
2019-11-08 07:11:18,55.9273,-34.2383,216.0,6.732,34.956,-0.00366104000749,0.03204,1.96415,0.00395589845153,1.7,0.06,0.00562068965517,-0.837426093008,10.2957908253,6.92575491855,0.000382885605189,27.4269703151
2019-11-08 07:11:18,55.9273,-34.2383,218.0,6.733,34.956,-0.00366104000746,0.03026,1.94005,0.00441911841073,1.7,0.05,0.00485344827586,3.86159966451,10.2904796308,9.12090428767,0.000515544002725,27.4268612793
2019-11-08 07:11:18,55.9273,-34.2383,220.0,6.732,34.956,-0.00366104000773,0.02492,1.9521,0.00441911841073,1.7,0.08,0.00255172413793,-0.571447117431,10.2849159574,7.05000696792,0.000390394469047,27.4270234117
2019-11-08 07:11:18,55.9273,-34.2383,222.0,6.725,34.955,-0.00366104000905,0.0267,1.94005,0.00395589845153,1.7,0.07,0.00331896551724,-0.21716085331,10.2710542602,7.21551175749,0.000400396339752,27.4272100741
2019-11-08 07:11:18,55.9273,-34.2383,224.0,6.713,34.955,-0.0036610400109,0.02848,1.96415,0.00441911841073,1.6,0.06,0.00408620689655,-0.749885698293,10.2588079652,6.96664940437,0.000385356961823,27.4288616106
2019-11-08 07:11:18,55.9273,-34.2383,226.0,6.726,34.96,-0.00366104000917,0.0356,1.94005,0.00395589845153,1.7,0.07,0.00715517241379,1.02366461712,10.2461079578,7.79516324041,0.000435426136783,27.431070637
2019-11-08 07:11:18,55.9273,-34.2383,228.0,6.717,34.963,-0.00366104001071,0.0267,1.9521,0.00395589845153,1.7,0.05,0.00331896551724,-0.839047517362,10.2310627501,6.92499747034,0.000382839830688,27.4346820827
2019-11-08 07:11:18,55.9273,-34.2383,230.0,6.711,34.964,-0.00366104001172,0.03026,1.98825,0.00395589845153,1.7,0.05,0.00485344827586,-0.750866194343,10.2201417957,6.96619136575,0.000385329281397,27.4363094601
2019-11-08 07:11:18,55.9273,-34.2383,232.0,6.702,34.964,-0.00366104001347,0.02492,1.9521,0.00441911841073,1.7,0.05,0.00255172413793,-0.0421646049473,10.2056864038,7.29726123579,0.000405336666339,27.437553533
2019-11-08 07:11:18,55.9273,-34.2383,234.0,6.695,34.964,-0.00366104001462,0.02492,1.96415,0.00395589845153,1.7,0.05,0.00255172413793,-0.397251209177,10.1915081241,7.13138256743,0.000395312201198,27.4385263601
2019-11-08 07:11:18,55.9273,-34.2383,236.0,6.684,34.965,-0.00366104001654,0.03382,1.9762,0.00441911841073,1.7,0.04,0.00638793103448,-0.57536962053,10.174322888,7.04817457103,0.000390283732694,27.4408274954
