Cruise,Subregion,Season,Station,Date,datetime,decimaldate,Latitude,Longitude,degree_bin,CampCN,Z_MLD,Z_XML,Target_Z,PhytoC,sd_PhytoC
AT32,Subtropical,Late Autumn,5,11/20/15,2015-11-20T09:07:00Z,2015.885972,43.835,-37.514,44,15,79.1,73.9,300,,
AT32,Subtropical,Late Autumn,5,11/20/15,2015-11-20T09:07:00Z,2015.885972,43.835,-37.514,44,15,79.1,73.9,368,,
AT32,Subtropical,Late Autumn,5,11/20/15,2015-11-20T09:07:00Z,2015.885972,43.835,-37.514,44,15,79.1,73.9,400,,
AT32,Subtropical,Late Autumn,5,11/20/15,2015-11-20T09:07:00Z,2015.885972,43.835,-37.514,44,15,79.1,73.9,500,,
AT32,Subtropical,Late Autumn,5,11/20/15,2015-11-20T09:07:00Z,2015.885972,43.835,-37.514,44,15,79.1,73.9,750,,
AT32,Subtropical,Late Autumn,5,11/20/15,2015-11-20T09:07:00Z,2015.885972,43.835,-37.514,44,15,79.1,73.9,1000,,
AT32,Subtropical,Late Autumn,5,11/20/15,2015-11-20T09:07:00Z,2015.885972,43.835,-37.514,44,15,79.1,73.9,1250,,
AT32,Subtropical,Late Autumn,5,11/20/15,2015-11-20T09:07:00Z,2015.885972,43.835,-37.514,44,15,79.1,73.9,1500,,
AT32,Subtropical,Late Autumn,5,11/20/15,2015-11-20T19:15:00Z,2015.887129,43.64,-38.416,44,16,13.7,7.52,0,,
AT32,Subtropical,Late Autumn,5,11/20/15,2015-11-20T19:15:00Z,2015.887129,43.64,-38.416,44,16,13.7,7.52,5,,
AT32,Subtropical,Late Autumn,5,11/20/15,2015-11-20T19:15:00Z,2015.887129,43.64,-38.416,44,16,13.7,7.52,10,,
AT32,Subtropical,Late Autumn,5,11/20/15,2015-11-20T19:15:00Z,2015.887129,43.64,-38.416,44,16,13.7,7.52,13.7,,
AT32,Subtropical,Late Autumn,5,11/20/15,2015-11-20T19:15:00Z,2015.887129,43.64,-38.416,44,16,13.7,7.52,25,,
AT32,Subtropical,Late Autumn,5,11/20/15,2015-11-20T19:15:00Z,2015.887129,43.64,-38.416,44,16,13.7,7.52,30,,
AT32,Subtropical,Late Autumn,5,11/20/15,2015-11-20T19:15:00Z,2015.887129,43.64,-38.416,44,16,13.7,7.52,50,,
AT32,Subtropical,Late Autumn,5,11/20/15,2015-11-20T19:15:00Z,2015.887129,43.64,-38.416,44,16,13.7,7.52,81,,
AT32,Subtropical,Late Autumn,5,11/20/15,2015-11-20T19:15:00Z,2015.887129,43.64,-38.416,44,16,13.7,7.52,100,,
AT32,Subtropical,Late Autumn,5,11/20/15,2015-11-20T19:15:00Z,2015.887129,43.64,-38.416,44,16,13.7,7.52,200,,
