Kingdom	Phylum	Class	Order	Family	Genus
N8456	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichales_Incertae_Sedis	Caedibacter
N8458	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella
N8459	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	P3OB-42	NA
N8460	Bacteria	Planctomycetes	OM190	NA	NA	NA
N8461	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	GR-WP33-58	NA
N8463	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	NA
N8466	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	Colwellia
N8467	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
N8472	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	OM27_clade
N8475	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	AEGEAN-169_marine_group
N8477	Bacteria	Planctomycetes	NA	NA	NA	NA
N8479	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ic	NA
N8480	Bacteria	Proteobacteria	Deltaproteobacteria	NA	NA	NA
N8481	Bacteria	Proteobacteria	Deltaproteobacteria	Sh765B-TzT-29	NA	NA
N8482	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	Oligoflexaceae	NA
N8483	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA
N8484	Bacteria	Proteobacteria	Gammaproteobacteria	KI89A_clade	NA	NA
N8485	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	NA	NA
N8486	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
N8488	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade	SAR202_Clade	NA
N8490	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	NA	NA
N8491	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Glaciecola
N8492	Bacteria	Proteobacteria	Deltaproteobacteria	Sh765B-TzT-29	NA	NA
N8498	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N8499	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ic	NA
N8500	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N8504	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
N8505	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS7_marine_group	NA
N8506	Bacteria	Cyanobacteria	ML635J-21	NA	NA	NA
N8509	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Magnetospira
N8510	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N8514	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NA
N8519	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N8521	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	Haliea
N8523	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Maribacter
N8524	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N8525	Bacteria	Proteobacteria	Alphaproteobacteria	DB1-14	NA	NA
N8526	Bacteria	NA	NA	NA	NA	NA
N8530	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Defluviicoccus
N8532	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas
N8533	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N8536	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Defluviicoccus
N8538	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade1	SAR202_Clade1	NA
N8545	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	OM1_clade	Candidatus_Actinomarina
N8554	Bacteria	Acidobacteria	Acidobacteria	Subgroup_3	PAUC26f	NA
N8557	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	OM75_clade
N8565	Bacteria	Verrucomicrobia	Opitutae	MB11C04_marine_group	NA	NA
N8566	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SS1-B-06-26	NA
N8568	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA
N8572	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_IIIa	NA
N8573	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ib	NA
N8575	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ic	NA
N8577	Bacteria	NA	NA	NA	NA	NA
N8595	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Pseudospirillum
N8596	Bacteria	Verrucomicrobia	Opitutae	MB11C04_marine_group	NA	NA
N8598	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	P3OB-42	NA
N8600	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Lutibacter
N8601	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N8602	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	P3OB-42	NA
N8603	Bacteria	NA	NA	NA	NA	NA
N8604	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Pseudofulvibacter
N8605	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Croceicoccus
N8607	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N8608	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Coxiella
N8609	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	GR-WP33-58	NA
N8610	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	NA	NA
N8614	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Coxiella
N8615	Bacteria	NA	NA	NA	NA	NA
N8616	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Marinomonas
N8621	Bacteria	NA	NA	NA	NA	NA
N8623	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	NA	NA
N8624	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N8631	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Eel-36e1D6	NA
N8633	Bacteria	NA	NA	NA	NA	NA
N8635	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	Peredibacter
N8636	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	OM27_clade
N8643	Bacteria	Cyanobacteria	ML635J-21	NA	NA	NA
N8645	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N8649	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Arcobacter
N8650	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NA
N8651	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	Oligoflexaceae	NA
N8654	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas
N8655	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N8656	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	NA	NA
N8657	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade4	SAR202_Clade4	NA
N8658	Bacteria	NA	NA	NA	NA	NA
N8661	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	NA
N8662	Bacteria	Proteobacteria	NA	NA	NA	NA
N8663	Bacteria	NA	NA	NA	NA	NA
N8664	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Litoricolaceae	Litoricola
N8671	Bacteria	NA	NA	NA	NA	NA
N8674	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Coxiella
N8675	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade	SAR202_Clade	NA
N8676	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS2b_marine_group
N8678	Bacteria	Bacteroidetes	NA	NA	NA	NA
N8681	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	NA
N8683	Bacteria	Proteobacteria	Deltaproteobacteria	NA	NA	NA
N8685	Bacteria	Proteobacteria	NA	NA	NA	NA
N8688	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade2	SAR202_Clade2	NA
N8689	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Defluviicoccus
N8690	Bacteria	Proteobacteria	Deltaproteobacteria	Sh765B-TzT-29	NA	NA
N8692	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Eel-36e1D6	NA
N8693	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Spongiibacteraceae	BD1-7_clade
N8694	Bacteria	Bacteroidetes	NA	NA	NA	NA
N8697	Bacteria	Acidobacteria	Acidobacteria	Subgroup_21	NA	NA
N8698	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Pseudospirillum
N8699	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	JTB255_marine_benthic_group	NA
N8700	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	P3OB-42	NA
N8701	Bacteria	NA	NA	NA	NA	NA
N8706	Bacteria	Proteobacteria	Alphaproteobacteria	OCS116_clade	NA	NA
N8710	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA
N8712	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	AEGEAN-169_marine_group
N8713	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	Peredibacter
N8714	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	AEGEAN-169_marine_group
N8715	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	GR-WP33-58	NA
N8716	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Maricurvus
N8724	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas
N8725	Bacteria	Proteobacteria	NA	NA	NA	NA
N8726	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	S25-593	NA
N8727	Bacteria	Proteobacteria	Deltaproteobacteria	GR-WP33-30	NA	NA
N8731	Bacteria	Cyanobacteria	ML635J-21	NA	NA	NA
N8733	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS5_marine_group
N8734	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N8735	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ib	NA
N8736	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichales_Incertae_Sedis	Caedibacter
N8737	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_IV	NA
N8741	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS5_marine_group
N8757	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade3	SAR202_Clade3	NA
N8761	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SM2D12	NA
N8763	Bacteria	NA	NA	NA	NA	NA
N8765	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA
N8801	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Idiomarinaceae	Idiomarina
N8803	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	NA	NA
N8804	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiales_Incertae_Sedis	Candidatus_Lariskella
N8807	Bacteria	Verrucomicrobia	Arctic97B-4_marine_group	NA	NA	NA
N8809	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	FS140-16B-02_marine_group
N8810	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	NA
N8814	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	NA
N8815	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	Halobacteriovorax
N8817	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Erythrobacter
N8818	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	NA
N8819	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas
N8820	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	P3OB-42	NA
N8823	Bacteria	Proteobacteria	Deltaproteobacteria	GR-WP33-30	NA	NA
N8830	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SAR86_clade	NA
N8831	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N8832	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N8842	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	OM27_clade
N8843	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Nitrospinaceae	Nitrospina
N8844	Bacteria	Proteobacteria	Gammaproteobacteria	KI89A_clade	NA	NA
N8845	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	Oligoflexaceae	NA
N8849	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	Oligoflexaceae	NA
N8852	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N8856	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	Oligoflexaceae	NA
N8860	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NA
N8861	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus
N8865	Bacteria	Bacteroidetes	NA	NA	NA	NA
N8867	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	Oligoflexaceae	NA
N8868	Bacteria	Proteobacteria	Deltaproteobacteria	Sh765B-TzT-29	NA	NA
N8869	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N8870	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	NA
N8874	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS7_marine_group	NA
N8876	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Crocinitomix
N8878	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	NA
N8880	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Nitrospinaceae	Nitrospina
N8881	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	Oligoflexaceae	NA
N8885	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	NA
N8890	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	NA	NA
N8891	Bacteria	Verrucomicrobia	Opitutae	RS-B22	NA	NA
N8892	Bacteria	Proteobacteria	NA	NA	NA	NA
N8894	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	NA
N8901	Bacteria	Lentisphaerae	Lentisphaeria	Lentisphaerales	Lentisphaeraceae	Lentisphaera
N8904	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N8907	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N8910	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N8911	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Nitrospinaceae	NA
N8914	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N8916	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NA	NA
N8917	Bacteria	Proteobacteria	Deltaproteobacteria	NA	NA	NA
N8918	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseobacter
N8922	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiales_Incertae_Sedis	Candidatus_Lariskella
N8923	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Candidatus_Gigarickettsia
N8925	Bacteria	Proteobacteria	NA	NA	NA	NA
N8931	Bacteria	Cyanobacteria	ML635J-21	NA	NA	NA
N8948	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	OM1_clade	NA
N8952	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	OM1_clade	Candidatus_Actinomarina
N8953	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	NA
N8954	Bacteria	Verrucomicrobia	Opitutae	MB11C04_marine_group	NA	NA
N8955	Bacteria	NA	NA	NA	NA	NA
N8956	Bacteria	NA	NA	NA	NA	NA
N8960	Bacteria	Proteobacteria	SPOTSOCT00m83	NA	NA	NA
N8961	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	NA
N8964	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	GR-WP33-58	NA
N8966	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	JTB255_marine_benthic_group	NA
N8980	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	AEGEAN-169_marine_group
N8992	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N8994	Bacteria	NA	NA	NA	NA	NA
N8997	Bacteria	Planctomycetes	OM190	NA	NA	NA
N8999	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	NA	NA
N9027	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio
N9029	Bacteria	Verrucomicrobia	Opitutae	MB11C04_marine_group	NA	NA
N9030	Bacteria	Verrucomicrobia	Arctic97B-4_marine_group	NA	NA	NA
N9031	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	ML602J-51
N9033	Bacteria	NA	NA	NA	NA	NA
N9035	Bacteria	Acidobacteria	Acidobacteria	Subgroup_21	NA	NA
N9036	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichales_Incertae_Sedis	Caedibacter
N9037	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	NA	NA
N9040	Bacteria	Proteobacteria	Deltaproteobacteria	Sh765B-TzT-29	NA	NA
N9041	Bacteria	Verrucomicrobia	Arctic97B-4_marine_group	NA	NA	NA
N9042	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	NS10_marine_group
N9048	Bacteria	Verrucomicrobia	Opitutae	NA	NA	NA
N9052	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N9055	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Coxiella
N9057	Bacteria	Cyanobacteria	ML635J-21	NA	NA	NA
N9061	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N9067	Bacteria	Chloroflexi	TK10	NA	NA	NA
N9068	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N9069	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade2	SAR202_Clade2	NA
N9070	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	NA
N9075	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	DEV007	NA
N9076	Bacteria	Gemmatimonadetes	Gemmatimonadetes	BD2-11_terrestrial_group	NA	NA
N9077	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Salinirepens
N9083	Bacteria	Proteobacteria	Deltaproteobacteria	Sh765B-TzT-29	NA	NA
N9084	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	NA
N9087	Bacteria	Chloroflexi	NA	NA	NA	NA
N9088	Bacteria	NA	NA	NA	NA	NA
N9089	Bacteria	Proteobacteria	Gammaproteobacteria	BD7-8_marine_group	NA	NA
N9094	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Blastopirellula
N9098	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	AEGEAN-169_marine_group
N9099	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA
N9100	Bacteria	NA	NA	NA	NA	NA
N9101	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade1	SAR202_Clade1	NA
N9102	Bacteria	NA	NA	NA	NA	NA
N9103	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N9104	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Sva0996_marine_group	NA
N9105	Bacteria	Verrucomicrobia	Arctic97B-4_marine_group	NA	NA	NA
N9107	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	GR-WP33-58	NA
N9108	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Polaribacter
N9111	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Tenacibaculum
N9112	Bacteria	Proteobacteria	Deltaproteobacteria	NA	NA	NA
N9113	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella
N9114	Bacteria	Planctomycetes	OM190	NA	NA	NA
N9118	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Formosa
N9120	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Balneatrix
N9121	Bacteria	Verrucomicrobia	OPB35_soil_group	NA	NA	NA
N9123	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Coxiella
N9127	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Saprospiraceae	NA
N9128	Bacteria	Proteobacteria	Deltaproteobacteria	NA	NA	NA
N9129	NA	NA	NA	NA	NA	NA
N9130	Bacteria	Proteobacteria	NA	NA	NA	NA
N9134	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Polaribacter
N9135	Bacteria	Chloroflexi	TK10	NA	NA	NA
N9141	Bacteria	NA	NA	NA	NA	NA
N9142	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	NS5_marine_group
N9143	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Nitrospinaceae	Nitrospina
N9146	Bacteria	Proteobacteria	Deltaproteobacteria	NA	NA	NA
N9148	Bacteria	Proteobacteria	Deltaproteobacteria	SAR324_clade(Marine_group_B)	NA	NA
N9149	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N9151	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N9152	Bacteria	Chloroflexi	NA	NA	NA	NA
N9153	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
N9154	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NA	NA
N9155	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhodobiaceae	Methyloligella
N9156	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Reichenbachiella
N9170	Bacteria	Proteobacteria	Deltaproteobacteria	NA	NA	NA
N9172	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Nitrospinaceae	Nitrospina
N9173	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Tenacibaculum
N9181	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Planctomyces
N9192	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ib	NA
N9194	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N9195	Bacteria	Proteobacteria	Alphaproteobacteria	OCS116_clade	NA	NA
N9198	Bacteria	Gemmatimonadetes	Gemmatimonadetes	BD2-11_terrestrial_group	NA	NA
N9200	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	S25-593	NA
N9214	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	Oligoflexaceae	NA
N9217	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N9228	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Roseibacillus
N9229	Bacteria	Verrucomicrobia	Opitutae	MB11C04_marine_group	NA	NA
N9239	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	NA
N9260	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	NA
N9262	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA
N9263	Bacteria	Verrucomicrobia	Opitutae	Puniceicoccales	Puniceicoccaceae	Cerasicoccus
N9266	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	Peredibacter
N9268	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	NA	NA
N9269	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter
N9270	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	NA
N9271	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Rhodopirellula
N9272	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Coxiella
N9275	Bacteria	Verrucomicrobia	Opitutae	Puniceicoccales	Puniceicoccaceae	Lentimonas
N9276	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Idiomarinaceae	Idiomarina
N9277	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Coxiella
N9281	Bacteria	Planctomycetes	OM190	NA	NA	NA
N9284	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	NA
N9285	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichales_Incertae_Sedis	Caedibacter
N9290	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichales_Incertae_Sedis	Caedibacter
N9291	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	NA
N9292	Bacteria	Proteobacteria	Deltaproteobacteria	Sh765B-TzT-29	NA	NA
N9293	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	P3OB-42	NA
N9296	NA	NA	NA	NA	NA	NA
N9302	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Nitrospinaceae	Nitrospina
N9317	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Candidatus_Cryptoprodotis
