	Domain	Phylum	Class	Order	Family	Genus
N1500	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N1503	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Sva0996_marine_group	NA
N1507	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AT-s3-44	NA
N1508	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SAR116_clade	NA
N1513	Bacteria	Chloroflexi	JG30-KF-CM66	NA	NA	NA
N1518	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N1520	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Magnetospira
N1522	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N1523	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	NA
N1524	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade2	SAR202_Clade2	NA
N1529	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_IV	NA
N1531	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N1533	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N1534	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ib	NA
N1536	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N1537	Bacteria	Planctomycetes	OM190	NA	NA	NA
N1538	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ib	NA
N1541	Bacteria	Chloroflexi	SAR202_clade	SAR202_Clade2	SAR202_Clade2	NA
N1545	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N1547	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	NS9_marine_group	NA
N1548	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ic	NA
N1549	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	NA	NA
N1550	Bacteria	Proteobacteria	Deltaproteobacteria	GR-WP33-30	NA	NA
N1551	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	NS10_marine_group
N1552	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Ia	NA
N1555	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N1557	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
N1565	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_IIIa	NA
N1566	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N1567	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	GR-WP33-58	NA
N1570	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Sva0996_marine_group	NA
N1572	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_II	NA
N1577	Bacteria	Marinimicrobia_(SAR406_clade)	NA	NA	NA	NA
